MatOldNew	PairNum	Deck1Feedback	Deck2Feedback	Pay1Back	Pay1BackTrial	Mat1Back	DelayDecks	SwitchDecks	Switch1Back	Sub	Trial	RT	Resp	ChosenSide	choice	Stay
0	1	0.6	0.8	NaN	NaN	NaN	NaN	NaN	NaN	1	1	457.019113004208	j	1	0	NaN
0	2	0.6	0.2	NaN	NaN	NaN	1	1	NaN	1	2	561.763219535351	j	1	1	NaN
1	2	0.2	0.6	0.2	0.6	0	0	0	1	1	3	411.744585260749	j	1	0	0
0	1	0	0.6	0.6	NaN	0	2	1	NaN	1	4	NaN	NaN	NaN	NaN	0
0	2	0	1	0.2	0.2	0	1	1	0	1	5	503.23667190969	k	2	1	0
1	2	-0	0.8	1	NaN	0	0	0	1	1	6	478.70965488255	j	1	0	0
0	1	0.2	0.4	NaN	0.2	0	2	1	1	1	7	672.883003950119	k	2	0	0
1	1	0	0.6	0.2	-0	0	0	0	1	1	8	651.167703792453	j	1	0	1
1	2	0	1	-0	1	1	2	1	0	1	9	595.427667722106	j	1	1	0
1	2	0.2	1	1	0	1	0	0	1	1	10	542.02526062727	j	1	1	1
1	1	0.4	0.6	0	0.2	1	2	1	0	1	11	813.800869509578	j	1	1	0
1	1	0.4	0.2	0.6	1	1	0	0	1	1	12	494.980165734887	j	1	1	1
0	2	0.2	0.8	1	1	1	2	1	0	1	13	390.899617224932	k	2	1	1
1	1	0.4	0.6	0.2	0.6	1	1	1	0	1	14	402.155559509993	k	2	1	1
1	1	0.4	0	0.6	0.8	1	0	0	1	1	15	531.385472044349	k	2	1	1
1	2	0.4	1	0.8	0.2	1	2	1	1	1	16	422.471405938268	j	1	1	1
1	2	0.4	1	1	0	1	0	0	1	1	17	574.681732803583	j	1	1	1
0	1	0.2	0.8	0	0.6	1	2	1	0	1	18	375.937208533287	j	1	1	1
1	1	0.4	0.6	0.8	1	0	0	0	1	1	19	578.370308503509	k	2	1	1
1	2	0.2	0.6	1	1	0	2	1	0	1	20	683.150513097644	k	2	1	1
0	1	0	0.6	0.6	0.8	1	1	1	0	1	21	554.358975961804	k	2	1	1
1	1	0	0.6	0.6	0.6	0	0	0	1	1	22	517.052065581083	j	1	1	1
0	2	1	0.6	0.6	0.6	1	2	1	1	1	23	622.344952076674	j	1	1	1
1	1	0.4	0.8	0.6	0.6	1	1	1	0	1	24	655.924528837204	k	2	1	1
